PRODUCT BACKLOG,,,,,,,,,,,
PRODUCT BACKLOG,,,,,,,,,STATUS,,PRIORITY
ID,AS A …,I WANT TO …,SO THAT …,Size,PRIORITY,Number of SPRINTs,STATUS,,Not Started,,High
1, IT Administrator,register hospital staff,I can manage user access and system roles,S,High,1,Complete,,In Progress,,Medium
2,Patient,register and create an account,I can book appointments and access my medical records,S,High,1,Complete,,Complete,,Low
3,  Patient, book an appointment online,so that I can choose a convenient time with my preferred doctor,L,High,1,Complete,,Overdue,,
3.1,  Patient,view a list of available doctors,I can choose one based on my preferences,S,High,1,Complete,,Overdue,,
3.2,  Patient, be able to select an available time slot for an appointment with the doctor, I can choose a time that suits me.,S,High,1,Complete,,Overdue,,
3.3,Patient,receive an email confirmation of my appointment, I have a record of it.,S,High,1,Complete,,,,
4,Doctor,view my patient list and appointments,I manage my daily schedule efficiently,   M,High,1,Complete,,On Hold,,
5,Doctor, view a patient’s full medical record before treatment,so that I can make accurate diagnoses and decisions,M,High,1,Complete,,,,
6,Patient, enter my insurance information in the hospital website ,So that I can check if my insurance is valid and see my coverage amount,  L,High,2,Complete,,,,
6.1,Patient , enter my ID number and insurance company name on the hospital’s website,I can check if the insurance is valid to me or not.,S,High,2,Complete,,,,
6.2,Patient ,"receive a response from the insurance company 
through an interface that tells me whether my request 
is accepted or rejected",I can know if the insurance will cover my medical expenses.,S,High,2,Complete,,,,
6.3,Patient ( note* if  if the insurance is valid ),the discount to be applied to the total amount due when paying the bill,I can benefit from the insurance coverage.,S,High,2,Complete,,,,
7,Lab Technician,upload test results to the system,doctors can access lab data without delay,S ,High,2,Complete,,,,
8,hospital manager,"be able to supervise and view all employee details and supported insurance
 companies in the hospital system",I can ensure smooth operations ,S,Medium,2,Complete,,,,
9,Accountant Administrator,generate billing and payment reports,I can track hospital revenue and patient payments,S,Medium,2,Complete,,,,
10,Doctor,request lab tests and view results digitally,I can make faster medical decisions,S,Medium,2,Complete,,,,
11,Patient,"pay medical bills online securely (visa , mada , apple pay)",I can complete my payments easily from home,S,Medium,2,Complete,,,,
12,Patient,view prescriptions and lab results online,I can stay informed about my health status,S,Medium,2,Complete,,,,
13,Patient,contact customer service via Chat,I can get assistance with my medical queries or issues,S,Medium,2,Complete,,,,
14,Patient,receive appointment reminders via  email,I won't forget my scheduled visits,S,Low,1,Complete,,,,
15,Marketing Administrator,send promotional offers to patients via email,I can attract more customers,S,Low,2,Complete,,,,
TOTAL,,,,,,33,,,,,
